CASE_NUM,CRIME_DESC,CHARGE_CODE,CHARGE_DESC,CRIME_PART,ADDRESS,CITY,DATE,CATEGORY,POINT_X,POINT_Y
190015683,FORCIBLE FONDLING,1178,CSC 4TH DEGREE -FORCIBLE CONTACT,A,200 BLOCK HISCOCK ST,ANN ARBOR,2019-04-19 17:48:00,SEX OFFENSES - CSC,-83.75085799995566,42.287131600698274
190015654,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME,2699,FRAUD (OTHER),A,2500 BLOCK MALLARD CT,ANN ARBOR,2019-04-19 14:19:00,FRAUD,-83.71306399955779,42.32118070148175
190015633,THEFT FROM BUILDING,2308,"LARCENY - FROM BUILDING (INCLUDES LIBRARY, OFFICE USED BY PUBLIC, ETC)",A,3200 BLOCK PLATT RD,ANN ARBOR,2019-04-19 11:41:00,LARCENY - ALL OTHER,-83.69984909851581,42.24129750007114
190015742,FORCIBLE SODOMY,1174,CSC 3RD DEGREE -PENETRATION ORAL/ANAL,A,200 BLOCK BUENA VISTA AVE,ANN ARBOR,2019-04-19 14:30:00,SEX OFFENSES - CSC,-83.76226010040733,42.27918249979979
190015699,DISORDERLY CONDUCT,5393,DISORDERLY CONDUCT (OTHER),B,2000 BLOCK GREEN RD,ANN ARBOR,2019-04-19 19:30:00,PUBLIC PEACE,-83.69147530007336,42.30377500020438
190015708,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2902,DAMAGE TO PROPERTY - PRIVATE PROPERTY - MDOP,A,800 BLOCK S MAPLE RD,ANN ARBOR,2019-04-19 20:45:00,DAMAGE TO PROPERTY,-83.78073400056809,42.27166130045691
190015724,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,MURRAY AVE & W WASHINGTON ST,ANN ARBOR,2019-04-19 23:44:30,ASSAULT - SIMPLE,-83.75570829958866,42.28070660134057
190015724,ALL OTHER,4801,RESISTING OFFICER,B,MURRAY AVE & W WASHINGTON ST,ANN ARBOR,2019-04-19 23:44:30,OBSTRUCTING POLICE,-83.75570829958866,42.28070660134057
190015797,SHOPLIFTING,3074,RETAIL FRAUD THEFT 2ND DEGREE,A,700 BLOCK BRIARWOOD CIR,ANN ARBOR,2019-04-20 14:16:00,LARCENY - RETAIL FRAUD,-83.74599350127107,42.24165980038822
190015813,MOTOR VEHICLE THEFT,2404,VEHICLE THEFT UDAA (REPORTED BY YOUR JURISDICTION),A,100 BLOCK W LIBERTY ST,ANN ARBOR,2019-04-20 20:45:00,MOTOR VEHICLE THEFT / FRAUD,-83.74931649935161,42.27978169997817
190015843,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,300 BLOCK MAYNARD ST,ANN ARBOR TWP,2019-04-21 02:24:00,ASSAULT - SIMPLE,-83.74225799969088,42.27867389995083
190015849,DISORDERLY CONDUCT,5311,DISORDERLY CONDUCT,B,300 BLOCK MAYNARD ST,ANN ARBOR,2019-04-21 02:30:00,PUBLIC PEACE,-83.74225799969088,42.27867389995083
190015859,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,2200 BLOCK PACKARD ST,ANN ARBOR TWP,2019-04-21 07:53:00,ASSAULT - SIMPLE,-83.72609829894321,42.2548621003844
190015818,SHOPLIFTING,3078,"RETAIL FRAUD, THEFT 3RD DEGREE",A,1400 BLOCK E STADIUM BLVD,ANN ARBOR,2019-04-20 21:05:00,LARCENY - RETAIL FRAUD,-83.73008270042828,42.2604518997058
190015845,DISORDERLY CONDUCT,5311,DISORDERLY CONDUCT,B,1200 BLOCK HILL ST,ANN ARBOR,2019-04-21 02:46:00,PUBLIC PEACE,-83.73414990021433,42.27233709991373
190015894,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,2100 BLOCK MEDFORD RD APT 15,ANN ARBOR,2019-04-21 14:50:00,ASSAULT - SIMPLE,-83.71190159933195,42.25684709960075
